FIRST,LAST,Nation
Illia,MANIAKIN,UKR
Vladislav,SHUNEVICH,RUS
Louis,GUIGNARD,SUI
Robin,KIRCHMAIR,AUT
Etienne,ABRIAT,FRA
Slav,KIROV,BUL
Amaury,CABEZAS,FRA
Nimród Sebestyén,TUSNÁDY,HUN
Tim,KOROSEC,SLO
Timotej,ROMŠAK,SLO
Attila Zsombor,RADICS,HUN
David,ZINSLER,AUT
CREP,LOVRO,SLO
Bence,FUKSZ,HUN
Paul,CRISTEA,ROU
Anselmo,BAZZANI,ITA
Jan,GURBA,POL
Luca,BOLDRINI,ITA
Jaka,JAKI,SLO
Ofir,RABINOVISH,ISR
Roko,ČAČIJA,CRO
Iurii,KOVALEV,RUS
Ivan,BONEV,BUL
Shaked,MANDLER,ISR
Filippos,LAVRENTAKIS-RIGAKIS,GRE
Maksym,VNUKOV,UKR
Agostino,BEARZI,ITA
Zak,BROWN,GBR
Jitse,REMES,BEL
Maksim,MUKHIN,RUS
Yan,JAKOB,SUI
Silas,MATZER,SUI
Lev,SHCHERBAKOV,RUS
Andreas,KAADA,NOR
Daniel Massimo,ROWOLD,DEN
Phillip,FYHN,DEN
Hugo,COSANO GARCÍA,ESP
Jonas Ryttov,PEDERSEN,DEN
Mário,RIBEIRO,POR
David,ZUQUETE,POR
Malthe,SORVAD RØNNENFELT,DEN
Jindrich,HOUSTEK,CZE
Gustavo,CUNHA,POR
Vasco,AVELAR,POR
Stefan,SCHERZ,AUT
Nicolai,UZNIK,AUT
Maximillian,MILNE,GBR
Nathan,MARTIN,FRA
leo,FAVOT,FRA
Ziga,ZAJC,SLO
Pietro,BIAGINI,ITA
Samuel,WINGARDH,SWE
Matteo,BASCHIERI,ITA
Christoph,SCHWEIGER,GER
Elias,ARRIAGADA KRÜGER,GER
Peter,KURIC,SVK
Michael,O NEILL,IRL
Ymer,ALBER,SWE
Ido,RIND,ISR
Dylan,CHUAT,SUI
Harold,PEETERS,BEL
Vyacheslav,KRASNOPEROV,RUS
Philipp,GEISENHOFF,SUI
Yotam,BEN REUVEN,ISR
David,PICCOLRUAZ,ITA
Sergei,TIUPYSHEV,RUS
Oleksii,KRYNETSKYI,UKR
Nino,GRÜNENFELDER,SUI
Matteo,MANZONI,ITA
Grigorii,PESTOV,RUS
Julien,CLÉMENCE,SUI
Mikel Asier,LINACISORO MOLINA,ESP
Emilien,CASADO,FRA
Štěpán,POTŮČEK,CZE
Šimon,POTŮČEK,CZE
Mykhayil,TKACHUK,UKR
Lukas,FRANCKAERT,BEL
Shachar,BEN HAYUN,ISR
Albert,ILSAAS SUTHURST,NOR
Eneko,CARRETERO CRUZ,ESP
Louis,GUNDOLF,AUT
Max,JØRGENSEN,DEN
Amiad,LIFMAN,ISR
Joseph,WALMSLEY,GBR
Tomáš,LUKÁŠEK,CZE
Frederik,VIBERG,DEN
Carl-William,SANDBERG,SWE
Theofanis Ermis,THEOCHAROPOULOS,GRE
Urska,REPUSIC,SLO
Vita,LUKAN,SLO
Irina,KUZMENKO,RUS
Alma,BESTVATER,GER
Yael,TAUB,ISR
Johanna,FÄRBER,AUT
Anna,BORELLA,ITA
Natalie,BERRY,GBR
Tara,HAYES,GBR
Martina,ZANETTI,ITA
Daria,MALYSHEVA,RUS
